2.5,ADVISORY,benchmarking.h:23:0,A project should not contain unused macro declarations
2.5,ADVISORY,crc_settings.h:23:0,A project should not contain unused macro declarations
2.5,ADVISORY,data.h:23:0,A project should not contain unused macro declarations
21.1,REQUIRED,demo_settings.h:23:0,define and undef directives shall not be used on a reserved identifier or reserved macro name
8.7,ADVISORY,hardware_crc.c:26:6,Functions and objects should not be defined with external linkage if the are referenced in only one translation unit
8.7,ADVISORY,hardware_crc.c:36:6,Functions and objects should not be defined with external linkage if the are referenced in only one translation unit
2.5,ADVISORY,hardware_crc.h:23:0,A project should not contain unused macro declarations
8.7,ADVISORY,main.c:57:9,Functions and objects should not be defined with external linkage if the are referenced in only one translation unit
5.8,REQUIRED,main.c:58:9,Identifiers that define objects or functions with external linkage shall be unique
5.8,REQUIRED,main.c:59:9,Identifiers that define objects or functions with external linkage shall be unique
5.8,REQUIRED,main.c:61:9,Identifiers that define objects or functions with external linkage shall be unique
5.8,REQUIRED,main.c:63:9,Identifiers that define objects or functions with external linkage shall be unique
5.8,REQUIRED,main.c:64:10,Identifiers that define objects or functions with external linkage shall be unique
8.4,REQUIRED,main.c:66:6,A compatible declaration shall be visible when an object or function with external linkage is defined
12.1,ADVISORY,main.c:74:41,The precedence of operators within expressions should be made explicit
7.4,REQUIRED,print.c:153:24,A string literal shall not be assigned to an object unless the object's type is pointer to const-qualified char
7.4,REQUIRED,print.c:154:24,A string literal shall not be assigned to an object unless the object's type is pointer to const-qualified char
7.4,REQUIRED,print.c:158:24,A string literal shall not be assigned to an object unless the object's type is pointer to const-qualified char
7.4,REQUIRED,print.c:159:24,A string literal shall not be assigned to an object unless the object's type is pointer to const-qualified char
7.4,REQUIRED,print.c:170:15,A string literal shall not be assigned to an object unless the object's type is pointer to const-qualified char
7.4,REQUIRED,print.c:172:29,A string literal shall not be assigned to an object unless the object's type is pointer to const-qualified char
7.4,REQUIRED,print.c:174:15,A string literal shall not be assigned to an object unless the object's type is pointer to const-qualified char
7.4,REQUIRED,print.c:176:29,A string literal shall not be assigned to an object unless the object's type is pointer to const-qualified char
7.4,REQUIRED,print.c:178:15,A string literal shall not be assigned to an object unless the object's type is pointer to const-qualified char
8.7,ADVISORY,print.c:206:9,Functions and objects should not be defined with external linkage if the are referenced in only one translation unit
4.1,REQUIRED,print.c:25:29,Octal and hexadecimal escape sequences shall be terminated
4.1,REQUIRED,print.c:26:29,Octal and hexadecimal escape sequences shall be terminated
4.1,REQUIRED,print.c:27:29,Octal and hexadecimal escape sequences shall be terminated
10.4,REQUIRED,print.c:270:73,Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category
10.4,REQUIRED,print.c:272:32,Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category
10.4,REQUIRED,print.c:273:114,Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category
10.4,REQUIRED,print.c:279:73,Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category
4.1,REQUIRED,print.c:28:29,Octal and hexadecimal escape sequences shall be terminated
10.4,REQUIRED,print.c:281:32,Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category
10.4,REQUIRED,print.c:282:114,Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category
5.8,REQUIRED,print.h:103:71,Identifiers that define objects or functions with external linkage shall be unique
2.5,ADVISORY,print.h:23:0,A project should not contain unused macro declarations
2.4,ADVISORY,print.h:44:1,A project should not contain unused tag declarations
2.5,ADVISORY,software_crc.h:22:0,A project should not contain unused macro declarations
8.7,ADVISORY,swap.c:109:10,Functions and objects should not be defined with external linkage if the are referenced in only one translation unit
14.4,REQUIRED,swap.c:32:11,The controlling expression of an if statement and the controlling expression of an iteration statement shall have essentially Boolean type
10.1,REQUIRED,swap.c:34:26,Operands shall not be of an inappropriate essential type
5.8,REQUIRED,swap.h:109:67,Identifiers that define objects or functions with external linkage shall be unique
2.5,ADVISORY,swap.h:23:0,A project should not contain unused macro declarations
5.8,REQUIRED,swap.h:67:33,Identifiers that define objects or functions with external linkage shall be unique
5.8,REQUIRED,swap.h:91:39,Identifiers that define objects or functions with external linkage shall be unique
5.8,REQUIRED,swap.h:99:52,Identifiers that define objects or functions with external linkage shall be unique
